epoch,lr,train_loss,val_loss
0.0,0.001,5.926131777244039,5.167715427621269
1.0,0.001,5.005242210803646,4.746697019043583
2.0,0.001,4.671688183699504,4.5291319967995225
3.0,0.001,4.475387780973227,4.3530166259473955
4.0,0.001,4.328937303901899,4.223085725811166
5.0,0.001,4.226614482331984,4.143678941477233
6.0,0.001,4.127607716192113,4.078587457207846
7.0,0.001,4.094759070047058,4.028152962805519
8.0,0.001,3.9933812995948412,3.9866053986117636
9.0,0.001,3.9570049106484593,3.929467261677057
10.0,0.001,3.881879112508037,3.9047462801098582
11.0,0.001,3.8582545601495424,3.8378069069783693
12.0,0.001,3.82558541014643,3.8134574717439156
13.0,0.001,3.723582890954348,3.7849688136601594
14.0,0.001,3.7064090719317444,3.7580271563539562
15.0,0.001,3.6760212643311756,3.726287486807441
16.0,0.001,3.630493865154757,3.7129533756187025
17.0,0.001,3.5933454438011245,3.678757872859717
18.0,0.001,3.5549709726088117,3.6660453385750293
19.0,0.001,3.513794726664477,3.6578051703316823
20.0,0.001,3.5035291308223613,3.615567428964964
21.0,0.001,3.499614710855012,3.613474265430535
22.0,0.001,3.4501726060810656,3.597157240393656
23.0,0.001,3.4182864817062226,3.5815340057465153
24.0,0.001,3.412771241499646,3.5545794882285042
25.0,0.001,3.3611233871762116,3.5471117702768122
26.0,0.001,3.3457130819264025,3.5365116068534928
27.0,0.001,3.339600352957697,3.5149162722305514
28.0,0.001,3.3136897346760965,3.5256168093959572
29.0,0.001,3.2448203398449587,3.499957430050886
30.0,0.001,3.2709874563878127,3.4927442879743977
31.0,0.001,3.2748676857145704,3.485394582422207
32.0,0.001,3.217092700523905,3.474902926796159
33.0,0.001,3.2135863209714985,3.474763051364983
34.0,0.001,3.1806739722148025,3.4662266569118385
35.0,0.001,3.158795082923209,3.452502489089966
36.0,0.001,3.1624757677021593,3.450620402272798
37.0,0.001,3.1537694081221477,3.43385180093393
38.0,0.001,3.1445799747315966,3.4352206776079757
39.0,0.001,3.1230587392750353,3.4311757361145325
40.0,0.001,3.1085161289366163,3.4324240862003994
41.0,0.001,3.088284657733275,3.418976686370205
42.0,0.001,3.066276968115627,3.41894928598308
43.0,0.001,3.0393179784906974,3.4186072939598344
44.0,0.001,3.0267342364433967,3.4228652818821805
45.0,0.001,3.017140041483511,3.399644394995461
46.0,0.001,3.001815668427118,3.419758598089698
47.0,0.001,2.9957782632053487,3.399663409476789
48.0,0.001,2.9815135946368225,3.3973058881893965
49.0,0.001,2.9597454968065318,3.3928899961697985
50.0,0.001,2.9346648749738637,3.389258598657681
51.0,0.001,2.9103559550672475,3.4064831287568245
52.0,0.001,2.9225244451277326,3.3895844122773444
53.0,0.001,2.9006762693424037,3.398759829926059
54.0,0.001,2.895041546018997,3.387426297189724
55.0,0.001,2.8778680102659924,3.3955669978734715
56.0,0.001,2.8803504929684176,3.392090563323176
57.0,0.001,2.8575128493922772,3.382400279073888
58.0,0.001,2.8423131173199945,3.3815110079959125
59.0,0.001,2.8402020223069897,3.378695572885709
60.0,0.001,2.837932272712783,3.3750587704196064
61.0,0.001,2.8288023542649676,3.3865374012492313
62.0,0.001,2.8019103390155453,3.381918273461417
63.0,0.001,2.808486256268945,3.3783876982253322
64.0,0.001,2.7771851143034376,3.3887246019643555
65.0,0.001,2.772526032853835,3.3861830200947507
66.0,0.001,2.7499407258364235,3.367860527345592
67.0,0.001,2.7438314102663854,3.3699693089759566
68.0,0.001,2.7190279771785923,3.3830014253766003
69.0,0.001,2.718779509610469,3.377857398219272
70.0,0.001,2.7185667174877506,3.376232027287934
71.0,0.001,2.7026982094981884,3.3783719189450054
72.0,0.001,2.683158045948142,3.381906603903358
73.0,0.001,2.6814719568384757,3.378276531365316
74.0,0.001,2.677881172387907,3.377169940553201
75.0,0.001,2.6513614890599015,3.3737847824211813
76.0,0.001,2.6709510902367017,3.3728060626407985
77.0,0.001,2.633778732601959,3.3798071824808718
78.0,0.001,2.652809981072303,3.3758165951465937
79.0,0.001,2.6257769282501524,3.39742164784514
80.0,0.001,2.62849224203884,3.3925450183975863
81.0,0.001,2.6145249121259937,3.3885207080265407
82.0,0.001,2.5966943915527647,3.3906055038843594
83.0,0.001,2.5863954265518942,3.386957594566422
84.0,0.001,2.5851287629344677,3.3948110689819457
85.0,0.001,2.5385264736591,3.3929278356448505
86.0,0.001,2.55160125175325,3.4213182623957246
87.0,0.001,2.5501487538366034,3.398801475463499
88.0,0.001,2.5515789324694342,3.3956465414112484
89.0,0.001,2.554249104886952,3.3887978789791973
90.0,0.001,2.5490362738618755,3.39535227244049
91.0,0.001,2.5333537394457526,3.384529489866445
92.0,0.001,2.53069536992819,3.398453267767156
93.0,0.001,2.5156524252183368,3.4019513849761163
94.0,0.001,2.5081774716330045,3.4129002833030593
95.0,0.001,2.4844497005538186,3.418676685759239
96.0,0.001,2.486499264688775,3.41062150874608
97.0,0.001,2.471780226962401,3.403002734635198
98.0,0.001,2.4859224734920087,3.4139261255321847
99.0,0.001,2.461945113569203,3.4467978789293072
100.0,0.001,2.440240503537773,3.412419573402021
101.0,0.001,2.4591207244608664,3.4252196250547104
102.0,0.001,2.4309420703661324,3.4315569602267844
103.0,0.001,2.431079640246854,3.4316399778638567
104.0,0.001,2.4357818494928947,3.4388618646733
105.0,0.001,2.409069641981975,3.428429743173856
106.0,0.001,2.4137470934650684,3.445652610579247
107.0,0.001,2.395079527751054,3.434903999689359
108.0,0.001,2.4164960101099298,3.434408279491862
109.0,0.001,2.386420441145944,3.44460689373899
110.0,0.001,2.3799206880059574,3.4337410562235107
111.0,0.001,2.3756823634157085,3.4536117902943784
112.0,0.001,2.363933577395902,3.4447577604105777
113.0,0.001,2.350001899322661,3.4530786220696372
114.0,0.001,2.3704293930884637,3.442627770080413
115.0,0.001,2.3249058581814905,3.4718983677071584
116.0,0.001,2.325037913747353,3.460030451147129
117.0,0.001,2.321332667133596,3.469148980779667
118.0,0.001,2.3200264803253776,3.458854950169922
119.0,0.001,2.31539782321099,3.467661879671891
120.0,0.001,2.318887177080211,3.458294516358097
121.0,0.001,2.321410563912722,3.470274288169815
122.0,0.001,2.3048524939187685,3.472793460132131
123.0,0.001,2.3058910818383245,3.4849922992813753
124.0,0.001,2.3177574212008185,3.475926488937746
125.0,0.001,2.2866323844040974,3.487763723856966
126.0,0.001,2.2700446147729854,3.4885132638981164
127.0,0.001,2.2736048061068694,3.4879677314873434
128.0,0.001,2.250675836412033,3.498036973673093
129.0,0.001,2.2836610574533442,3.48336640929792
130.0,0.001,2.2726207605682975,3.4993742227074605
131.0,0.001,2.2421842364981623,3.491255954957344
132.0,0.001,2.2461886500368022,3.4913118072678624
133.0,0.001,2.2396763799214128,3.5056971112487303
134.0,0.001,2.229406689653302,3.511957552831178
135.0,0.001,2.2447357885908374,3.517289464862294
136.0,0.001,2.2392369154656286,3.513772436790543
137.0,0.001,2.2025519361590393,3.507439131228257
138.0,0.001,2.2071736059566534,3.5317227259967887
139.0,0.001,2.1913688619538108,3.5224815614266656
140.0,0.001,2.2015196037764597,3.5144567307332153
141.0,0.001,2.176416302671527,3.5155239431431116
142.0,0.001,2.198039218930915,3.527305677862954
143.0,0.001,2.200488747936664,3.5167246752341748
144.0,0.001,2.1766571278619296,3.517669599061041
145.0,0.001,2.1935330983435755,3.5234832168824717
146.0,0.001,2.180488139095873,3.526126496988523
147.0,0.001,2.185269559964095,3.5414770393064563
148.0,0.001,2.1648625489508753,3.549063248893385
149.0,0.001,2.148039188715491,3.5371862935348295
150.0,0.001,2.145060571113435,3.5526331703907528
151.0,0.001,2.1406596179055697,3.5506270924804197
152.0,0.001,2.145632301226701,3.5472840053934447
153.0,0.001,2.1313685757098813,3.540907936556718
154.0,0.001,2.1492937165911834,3.5382221834040744
155.0,0.001,2.118701162904796,3.5763195410100987
156.0,0.001,2.1307236463716714,3.560241924685012
157.0,0.001,2.1063114416481246,3.5620876106937645
158.0,0.001,2.106216137952144,3.5616628965381647
159.0,0.001,2.0962327270224543,3.569684050692399
160.0,0.001,2.094746239114516,3.580939898308614
161.0,0.001,2.1118651227195664,3.574190479409047
162.0,0.001,2.094120180252755,3.5771861546476122
